dataset,method,n,mae,rmse,smape_percent,r2,crps_3q,coverage_90,width_90,interval_score_90
NREL known-site daylight,Issued DA forecast,184061,0.10297164264492549,0.1636756561219092,51.706960131232684,0.540255230904587,,,,
NREL known-site daylight,Non-physical direct LightGBM,184061,0.09372329039104864,0.14414325842675857,49.67040792167232,0.6434361699881186,0.05528979962932674,0.8275463025844693,0.38723564638886127,0.5120875661573456
NREL known-site daylight,Solar-geometry LightGBM,184061,0.08776870851577563,0.13938449501377523,47.161806756062326,0.6665908245452623,0.05172821500221071,0.8650447406023003,0.3883840317389761,0.48011840907124026
NREL known-site daylight,Clear-sky LightGBM,184061,0.08937223064490046,0.1399172583256039,46.37841332432934,0.6640372026846606,0.05247878198652574,0.8486968993974824,0.38465525205172235,0.4808333209618115
NREL known-site daylight,Physical residual LightGBM,184061,0.08983955668366754,0.14298043007129443,45.6666853773051,0.6491658880628337,0.05277030073013407,0.8728953988080038,0.3378438217957328,0.47953126461719986
NREL known-site daylight,Physical residual and trajectory LightGBM,184061,0.08743073832924723,0.14078399104975556,45.6101160787096,0.6598619943081174,0.05162159261916259,0.8698692281363244,0.3259979638424938,0.4761001920220931
NREL known-site daylight,Matched XGBoost quantile,184061,0.08800717843445179,0.1405909843713765,46.80460860564064,0.6607939739424498,0.052312528041797604,0.836722608265738,0.3128088653864592,0.49059345126401593
NREL known-site daylight,"Chronos-2 zero-shot, projected",184061,0.09140174852271717,0.14131159846620928,46.545838528796125,0.6573077889985629,0.05331255261760694,0.8686957041415617,0.34799168900071425,0.4746089092685818
PVOD daylight common sample,Three-day persistence,23594,0.14252755684105695,0.21273479745278726,56.84984457414654,0.27096346473569854,,,,
PVOD daylight common sample,Clear-sky-scaled persistence,23594,0.14330172150928255,0.21348294610445176,56.89753243397585,0.26582667666696935,,,,
PVOD daylight common sample,Matched XGBoost point,23594,0.08268748648120115,0.118006560185076,36.21502417663968,0.7756714612879688,,,,
PVOD daylight common sample,PatchTST-style trajectory model,23594,0.09343193863998818,0.13702984849982736,40.98291247491858,0.6975158796769527,,,,
PVOD daylight common sample,Quantile MLP,23594,0.08800267103929844,0.12951422269243015,41.933714878717964,0.7297864321746684,0.05204758493803132,0.7623124523183861,0.24112873954914438,0.4745165388807228
PVOD daylight common sample,Non-physical direct LightGBM,23594,0.07570748147975652,0.1145729006740808,34.76483244706674,0.7885361953180812,0.04665377702821456,0.7575654827498517,0.2479560839412332,0.48019274807917134
PVOD daylight common sample,Solar-geometry LightGBM,23594,0.07707774988873475,0.11505067426760719,35.71877130304989,0.7867688930215742,0.048223645685455,0.713995083495804,0.23961844058695428,0.5140983395269729
PVOD daylight common sample,Clear-sky LightGBM,23594,0.0772594349853203,0.11537256811065526,35.30268150473431,0.7855740491004468,0.048016765846837485,0.7350597609561753,0.24266953895150187,0.5038797800298949
PVOD daylight common sample,Clear-sky residual LightGBM,23594,0.07870760345627506,0.11817656912324977,35.35114693825168,0.7750246272694084,0.04900830455773212,0.765830295837925,0.2708035923073588,0.5187960721155178
PVOD daylight common sample,Residual trajectory LightGBM,23594,0.08141750353222708,0.12115019119505457,36.5258097446679,0.7635602819597958,0.050602070182252615,0.747520556073578,0.2707663400870803,0.5324039797442955
EMSx common test sample,Issued vendor forecast,851958,71.17096854832738,651.3392643328352,119.4321934486819,0.8945093348533317,,,,
EMSx common test sample,Persistence,851958,92.08825878274071,954.1222199754334,27.14589532301335,0.7736359101141951,,,,
EMSx common test sample,Ridge regression,851958,67.52492102523208,629.6656620662833,51.505708183685385,0.9014130269127301,,,,
EMSx common test sample,Random forest,851958,61.20950180479937,621.1183473351126,47.58075126534735,0.9040713730475997,,,,
EMSx common test sample,Enhanced random forest,851958,59.55978330867046,592.9725947799793,98.01832177483483,0.9125683334882662,,,,
EMSx common test sample,MLP,851958,63.993768646120756,649.449012978575,22.28684673453543,0.8951207352052498,,,,
EMSx common test sample,LSTM,851958,64.92623689854878,648.4930822460543,44.13610865513898,0.8954292537356683,,,,
EMSx common test sample,GRU,851958,64.3332226505164,651.9181245286763,40.50743078089521,0.8943217475694785,,,,
EMSx common test sample,TCN,851958,62.94587812576716,609.9914992783316,37.49300565893034,0.9074775599489603,,,,
EMSx common test sample,Enhanced XGBoost,851958,55.11003075018246,590.9130424083029,84.42913171430082,0.9131746258596528,,,,
EMSx common test sample,Enhanced LightGBM point,851958,53.87758558895272,571.7473971412645,78.60253419463476,0.9187154689695141,,,,
EMSx common test sample,Enhanced probabilistic QGBM,851958,54.36913153384219,574.1568544798914,65.57095843055721,0.9180289270119164,33.35781172014156,0.8984809110308255,188.66246789736093,340.48577089658113
