{'site': 1, 'rows': 186694, 'leads': [0, 3, 15, 95], 'start': '2014-07-19 18:30:00+00:00', 'end': '2017-10-21 23:45:00+00:00'}
{'site': 2, 'rows': 249250, 'leads': [0, 3, 15, 95], 'start': '2015-01-31 15:30:00+00:00', 'end': '2017-10-21 23:45:00+00:00'}
{'site': 3, 'rows': 247495, 'leads': [0, 3, 15, 95], 'start': '2015-01-25 12:30:00+00:00', 'end': '2017-10-21 23:45:00+00:00'}
{'site': 4, 'rows': 309787, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-05 00:45:00+00:00'}
{'site': 5, 'rows': 190830, 'leads': [0, 3, 15, 95], 'start': '2015-05-11 16:30:00+00:00', 'end': '2017-01-25 16:15:00+00:00'}
{'site': 6, 'rows': 225179, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-26 16:45:00+00:00'}
{'site': 7, 'rows': 190830, 'leads': [0, 3, 15, 95], 'start': '2013-01-12 01:00:00+00:00', 'end': '2014-08-25 00:45:00+00:00'}
{'site': 8, 'rows': 152664, 'leads': [0, 3, 15, 95], 'start': '2015-06-12 02:00:00+00:00', 'end': '2017-02-21 01:45:00+00:00'}
{'site': 9, 'rows': 286245, 'leads': [0, 3, 15, 95], 'start': '2014-07-12 13:15:00+00:00', 'end': '2017-03-14 13:00:00+00:00'}
{'site': 10, 'rows': 310923, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-07 23:45:00+00:00'}
{'site': 11, 'rows': 315915, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-20 23:45:00+00:00'}
{'site': 12, 'rows': 312843, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-12 23:45:00+00:00'}
{'site': 13, 'rows': 308619, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-01 23:45:00+00:00'}
{'site': 14, 'rows': 362577, 'leads': [0, 3, 15, 95], 'start': '2013-01-12 00:00:00+00:00', 'end': '2017-03-26 23:45:00+00:00'}
{'site': 15, 'rows': 185822, 'leads': [0, 3, 15, 95], 'start': '2015-03-24 01:00:00+00:00', 'end': '2017-10-21 23:45:00+00:00'}
{'site': 16, 'rows': 309971, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-10-05 12:15:00+00:00'}
{'site': 17, 'rows': 263919, 'leads': [0, 3, 15, 95], 'start': '2015-10-19 00:00:00+00:00', 'end': '2017-09-05 14:00:00+00:00'}
{'site': 18, 'rows': 229267, 'leads': [0, 3, 15, 95], 'start': '2016-02-05 00:00:00+00:00', 'end': '2017-09-24 08:15:00+00:00'}
{'site': 19, 'rows': 263999, 'leads': [0, 3, 15, 95], 'start': '2015-12-20 00:00:00+00:00', 'end': '2017-11-06 19:00:00+00:00'}
{'site': 20, 'rows': 263991, 'leads': [0, 3, 15, 95], 'start': '2015-12-19 00:00:00+00:00', 'end': '2017-11-05 18:30:00+00:00'}
{'site': 21, 'rows': 240915, 'leads': [0, 3, 15, 95], 'start': '2016-02-05 00:00:00+00:00', 'end': '2017-10-24 16:15:00+00:00'}
{'site': 22, 'rows': 263971, 'leads': [0, 3, 15, 95], 'start': '2015-12-18 00:00:00+00:00', 'end': '2017-11-04 17:15:00+00:00'}
{'site': 23, 'rows': 263959, 'leads': [0, 3, 15, 95], 'start': '2015-12-19 00:00:00+00:00', 'end': '2017-11-05 16:30:00+00:00'}
{'site': 24, 'rows': 252371, 'leads': [0, 3, 15, 95], 'start': '2016-01-07 00:00:00+00:00', 'end': '2017-10-25 12:15:00+00:00'}
{'site': 25, 'rows': 229143, 'leads': [0, 3, 15, 95], 'start': '2015-07-27 00:00:00+00:00', 'end': '2017-03-15 00:30:00+00:00'}
{'site': 26, 'rows': 233971, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-03-21 14:15:00+00:00'}
{'site': 27, 'rows': 224663, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-25 08:30:00+00:00'}
{'site': 28, 'rows': 183211, 'leads': [0, 3, 15, 95], 'start': '2015-08-08 00:00:00+00:00', 'end': '2016-11-27 09:45:00+00:00'}
{'site': 29, 'rows': 198039, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2016-12-18 00:30:00+00:00'}
{'site': 30, 'rows': 233355, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-03-19 23:45:00+00:00'}
{'site': 31, 'rows': 220683, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-14 23:45:00+00:00'}
{'site': 32, 'rows': 191499, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2016-11-30 23:45:00+00:00'}
{'site': 33, 'rows': 232971, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-03-18 23:45:00+00:00'}
{'site': 34, 'rows': 219531, 'leads': [0, 3, 15, 95], 'start': '2015-07-21 00:00:00+00:00', 'end': '2017-02-11 23:45:00+00:00'}
